accession,length,nb_contigs,category,filtering_method,serratax_id,serraplace_id,refseq_neighbour,refseq_pctid,refseq_quality,genome_neighbour,genome_pctid,genome_quality,fragment_neighbour,fragment_pctid,fragment_quality,platform
SRR11826966,29823,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11851943,29093,3,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,75.0,unknown,ILLUMINA
SRR1190369,10622,1,C,checkv,,,NC_019843.3,100.0,partial,NC_019843.3,100.0,partial,KT036374.1,95.6,unknown,ILLUMINA
SRR11915820,2940,2,D,checkv,694009,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,93.0,unknown,ILLUMINA
SRR11924420,8462,2,C,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,94.3,unknown,ILLUMINA
SRR11939968,29527,1,A,checkv,694009,,NC_045512.2,99.2,partial,NC_045512.2,99.2,partial,MT084071.1,76.3,unknown,ILLUMINA
SRR11953795,29881,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11954052,29885,2,B,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,79.9,unknown,ILLUMINA
SRR1195589,29796,1,A,checkv,694009,,NC_004718.3,100.0,near_complete,NC_004718.3,100.0,near_complete,AH013709.2,95.7,hiclip_suspicious,ILLUMINA
SRR12017055,29832,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR12045889,29930,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR6893877,22900,1,C,checkv,1159905,,NC_039208.1,98.9,partial,LC260045.1,99.2,partial,MK204388.1,85.2,hiclip_suspicious,ILLUMINA
SRR8139285,2890,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR8389831,14735,5,C,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR8631581,2906,2,D,checkv,2509479,,NC_018871.1,76.9,unknown,JQ989272.1,90.0,unknown,EF434379.1,86.1,hiclip_suspicious,ILLUMINA
ERR1302946,28215,1,A,checkv,2691591,,NC_009657.1,95.7,unknown,MH687938.1,97.2,complete,MG546689.1,85.8,hiclip_suspicious,ILLUMINA
ERR2214808,5155,1,C,checkv,11120,,NC_001451.1,92.1,unknown,KJ425485.1,100.0,partial,KR265092.1,98.6,partial,ILLUMINA
ERR3179341,28262,1,A,checkv,2691591,,NC_009657.1,95.0,unknown,MH687964.1,100.0,near_complete,MG546689.1,85.8,hiclip_suspicious,ILLUMINA
ERR4080530,12105,12,C,checkv,694009,,NC_045512.2,98.7,hiclip_suspicious,NC_045512.2,98.7,hiclip_suspicious,MT084071.1,95.1,hiclip_suspicious,OXFORD_NANOPORE
ERR4080781,20397,8,C,checkv,,,NC_045512.2,99.7,partial,NC_045512.2,99.7,partial,MT084071.1,78.8,unknown,OXFORD_NANOPORE
ERR4145419,2603,4,D,checkv,696098,,NC_045512.2,96.0,unknown,MT374101.1,96.0,unknown,MT084071.1,89.2,unknown,OXFORD_NANOPORE
ERR4164960,9349,3,C,bgc,,,NC_045512.2,99.3,partial,NC_045512.2,99.3,partial,MT084071.1,74.7,hiclip_suspicious,OXFORD_NANOPORE
ERR4181773,6083,12,C,bgc,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,93.0,unknown,?
ERR4182396,6318,2,C,checkv,694009,,NC_045512.2,99.7,partial,NC_045512.2,99.7,partial,MT084071.1,80.1,unknown,OXFORD_NANOPORE
ERR878269,275,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR10083350,348,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR11039490,1892,3,D,checkv,11138,,NC_001846.1,99.9,partial,MF618252.1,99.9,partial,X00509.1,99.8,partial,ILLUMINA
SRR11412225,301,1,D,bgc,,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,97.0,partial,ILLUMINA
SRR11494500,24249,3,C,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,90.0,unknown,ILLUMINA
SRR11494751,16295,4,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,81.0,unknown,ILLUMINA
SRR11549941,8394,1,C,checkv,694009,,NC_004718.3,99.9,partial,NC_004718.3,99.9,partial,AH013709.2,93.0,hiclip_suspicious,ILLUMINA
SRR11573920,29970,2,B,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,76.3,unknown,ILLUMINA
SRR11578070,21477,3,C,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,82.5,unknown,ILLUMINA
SRR11578321,26889,3,B,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,82.5,unknown,?
SRR11607654,27075,4,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,78.2,unknown,ILLUMINA
SRR11621921,29874,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11622223,27198,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,75.2,unknown,ILLUMINA
SRR11648015,3512,8,D,bgc,,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,88.2,unknown,OXFORD_NANOPORE
SRR11741537,24171,2,C,checkv,11138,,NC_001846.1,99.6,partial,NC_001846.1,99.6,partial,MF416379.1,89.8,unknown,ILLUMINA
SRR11772651,29985,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.4,unknown,ILLUMINA
SRR11783596,30014,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.4,unknown,ILLUMINA
SRR11810737,16036,7,C,checkv,,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,88.9,unknown,ION_TORRENT
SRR11826967,29823,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11851944,6999,3,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,79.5,unknown,ILLUMINA
SRR1190370,11285,1,C,checkv,,,NC_019843.3,100.0,partial,NC_019843.3,100.0,partial,KT036374.1,95.8,unknown,ILLUMINA
SRR11915821,10834,3,C,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,86.6,unknown,ILLUMINA
SRR11924421,8400,2,C,checkv,694009,,NC_045512.2,99.8,partial,NC_045512.2,99.8,partial,MT084071.1,94.3,unknown,ILLUMINA
SRR11939969,29851,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,75.3,unknown,ILLUMINA
SRR11954053,29844,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR1195619,29750,1,A,checkv,694009,,NC_004718.3,100.0,complete,NC_004718.3,100.0,complete,AH013709.2,95.7,hiclip_suspicious,ILLUMINA
SRR12017056,29811,1,A,checkv,694009,,NC_045512.2,99.7,complete,NC_045512.2,99.7,complete,MT084071.1,77.0,unknown,ILLUMINA
SRR12045890,30048,1,A,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,77.4,unknown,ILLUMINA
SRR1635861,347,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR6206921,264,1,D,bgc,,,NC_038861.1,94.7,unknown,KP981644.1,99.6,partial,JF682842.1,99.6,partial,ILLUMINA
SRR6713775,28075,1,A,checkv,28295,,NC_003436.1,96.8,unknown,KU893871.1,99.7,near_complete,MG546689.1,98.9,complete,ILLUMINA
SRR6893878,25385,1,A,checkv,1159905,,NC_039208.1,99.0,complete,KY926512.1,99.1,complete,MT025058.1,86.8,hiclip_suspicious,ILLUMINA
SRR6994479,1253,1,D,checkv,694003,,NC_006213.1,99.9,partial,NC_006213.1,99.9,partial,KF963211.1,99.0,near_complete,ILLUMINA
SRR8389832,15511,6,C,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR1302947,56324,2,B,checkv,2691591,,NC_009657.1,95.7,unknown,MH687938.1,97.2,near_complete,MG546689.1,85.8,hiclip_suspicious,ILLUMINA
ERR2214809,640,1,D,checkv,11120,,NC_010800.1,96.1,unknown,KP868573.1,99.8,partial,KR265092.1,99.8,partial,ILLUMINA
ERR3180614,16370,2,C,checkv,31631,,NC_006213.1,97.7,partial,MN306053.1,99.6,partial,LR721664.1,91.3,unknown,ILLUMINA
ERR3201896,267,1,D,bgc,,,NC_006213.1,98.5,partial,MN306053.1,99.6,partial,LR721664.1,95.9,unknown,ILLUMINA
ERR4080531,8139,3,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,93.9,unknown,OXFORD_NANOPORE
ERR4080782,13178,11,C,checkv,,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,81.4,unknown,OXFORD_NANOPORE
ERR4145420,9061,15,C,checkv,694009,,NC_045512.2,95.3,unknown,MT374101.1,95.3,unknown,MT084071.1,91.1,unknown,OXFORD_NANOPORE
ERR4181774,713,1,D,checkv,694009,,NC_045512.2,99.7,partial,MT374101.1,99.7,partial,MT084071.1,95.7,unknown,?
ERR4182397,1320,2,D,bgc,,,NC_045512.2,96.4,unknown,NC_045512.2,96.4,unknown,MT084071.1,93.2,unknown,OXFORD_NANOPORE
SRR1030146,1767,7,D,bgc,,,NC_004718.3,100.0,partial,MT308984.1,100.0,partial,AY536760.3,100.0,partial,ILLUMINA
SRR10357366,4930,1,D,checkv,1335626,,NC_019843.3,99.9,partial,NC_019843.3,99.9,partial,KT036374.1,90.9,unknown,ILLUMINA
SRR11039491,1052,1,D,checkv,11138,,NC_001846.1,100.0,partial,NC_001846.1,100.0,partial,X00509.1,99.4,partial,ILLUMINA
SRR11040131,260,1,D,bgc,,,NC_001846.1,100.0,partial,MF618252.1,100.0,partial,M80644.1,100.0,partial,ILLUMINA
SRR11412226,541,2,D,bgc,,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,96.9,unknown,ILLUMINA
SRR11494501,21944,1,C,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,82.0,unknown,ILLUMINA
SRR11494752,6983,4,C,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,94.4,unknown,?
SRR11549942,8239,1,C,checkv,694009,,NC_004718.3,99.9,partial,NC_004718.3,99.9,partial,AH013709.2,92.9,hiclip_suspicious,ILLUMINA
SRR11573921,29992,2,B,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,76.3,unknown,ILLUMINA
SRR11578071,12436,4,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,88.8,unknown,ILLUMINA
SRR11578322,15394,4,C,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,87.8,unknown,ILLUMINA
SRR11607655,29990,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,75.1,unknown,ILLUMINA
SRR11621922,29842,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11622224,29840,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11648016,287,1,D,bgc,,,NC_045512.2,99.0,partial,NC_045512.2,99.0,partial,MT084071.1,97.6,partial,OXFORD_NANOPORE
SRR11741538,31322,1,A,checkv,11138,,NC_001846.1,99.9,complete,NC_001846.1,99.9,complete,MF416379.1,92.1,unknown,ILLUMINA
SRR11772652,3672,1,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,94.8,unknown,ILLUMINA
SRR11783598,29986,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.4,unknown,ILLUMINA
SRR11810738,7747,4,C,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,79.8,unknown,ION_TORRENT
SRR11826968,29819,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11851945,954,2,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,93.2,unknown,ILLUMINA
SRR1190371,13750,1,C,checkv,,,NC_019843.3,100.0,partial,NC_019843.3,100.0,partial,KT036374.1,96.5,unknown,ILLUMINA
SRR11915822,26451,5,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,81.3,unknown,ILLUMINA
SRR1193997,6303,1,C,checkv,1335626,,NC_019843.3,100.0,partial,NC_019843.3,100.0,partial,KT036374.1,92.8,unknown,ILLUMINA
SRR11953797,14709,29,C,bgc,,,NC_045512.2,99.9,partial,MT374101.1,99.9,partial,KF294457.1,89.8,unknown,ILLUMINA
SRR1195620,29725,1,A,checkv,694009,,NC_004718.3,100.0,complete,NC_004718.3,100.0,complete,AH013709.2,95.7,hiclip_suspicious,ILLUMINA
SRR12017057,29683,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.2,unknown,?
SRR6713776,28113,1,A,checkv,28295,,NC_003436.1,96.8,unknown,KU893871.1,99.7,near_complete,MG546689.1,98.8,near_complete,ILLUMINA
SRR6893879,22030,1,C,checkv,1159905,,NC_039208.1,98.9,partial,KY926512.1,99.1,partial,MK204388.1,84.6,hiclip_suspicious,ILLUMINA
SRR8389835,16097,1,C,checkv,_unclassified_,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR1298637,316,1,D,bgc,,,NC_010800.1,94.0,unknown,KJ425496.1,100.0,partial,MN548285.1,94.6,unknown,ILLUMINA
ERR1302948,6061,1,C,checkv,2691591,,NC_009657.1,90.5,unknown,MH687960.1,100.0,partial,KT346372.1,83.2,unknown,ILLUMINA
ERR2214810,2042,2,D,checkv,694014,,NC_001451.1,92.9,unknown,KJ425485.1,99.9,partial,FJ008695.1,96.6,unknown,ILLUMINA
ERR2821757,445,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR4080532,9255,4,C,checkv,694009,,NC_045512.2,99.5,partial,NC_045512.2,99.5,partial,MT084071.1,73.9,unknown,OXFORD_NANOPORE
ERR4080783,72868,145,B,checkv,694009,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,93.6,unknown,OXFORD_NANOPORE
ERR4145421,643,1,D,checkv,,,NC_045512.2,97.4,partial,NC_045512.2,97.4,partial,MT084071.1,91.4,unknown,OXFORD_NANOPORE
ERR4164962,5404,1,C,checkv,696098,,NC_045512.2,96.0,unknown,NC_045512.2,96.0,unknown,MT084071.1,81.7,unknown,OXFORD_NANOPORE
ERR4181775,7191,14,C,bgc,,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,93.7,unknown,?
ERR4182398,5528,1,C,checkv,694009,,NC_045512.2,99.8,hiclip_suspicious,NC_045512.2,99.8,hiclip_suspicious,MT084071.1,98.0,hiclip_suspicious,OXFORD_NANOPORE
SRR10083567,27837,1,A,checkv,11120,,NC_010800.1,85.4,unknown,MK142676.1,99.8,near_complete,MK618759.1,95.6,hiclip_suspicious,ILLUMINA
SRR10357367,26054,1,A,checkv,1335626,,NC_019843.3,99.9,partial,NC_019843.3,99.9,partial,KT036374.1,97.9,partial,ILLUMINA
SRR10546822,651,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR11040132,31306,1,A,checkv,11138,,NC_001846.1,99.9,complete,NC_001846.1,99.9,complete,MF416379.1,92.2,unknown,ILLUMINA
SRR11412227,2548,2,D,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,95.8,unknown,ILLUMINA
SRR11456972,824,1,D,checkv,694009,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,93.9,unknown,ILLUMINA
SRR11494502,21059,2,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,77.4,unknown,?
SRR11494753,4601,4,D,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,95.0,unknown,ILLUMINA
SRR11573922,29842,1,A,checkv,694009,,NC_045512.2,99.9,near_complete,NC_045512.2,99.9,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11578072,19876,2,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,82.5,unknown,ILLUMINA
SRR11578323,4402,3,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,95.1,unknown,ILLUMINA
SRR11607656,1159,1,D,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,94.4,unknown,ILLUMINA
SRR11621923,29855,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11622225,30076,3,B,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,79.9,unknown,ILLUMINA
SRR11648017,4455,11,D,bgc,,,NC_045512.2,99.8,partial,MT374101.1,99.8,partial,KF294457.1,82.2,unknown,OXFORD_NANOPORE
SRR11741539,28812,2,B,checkv,11138,,NC_001846.1,99.7,partial,NC_001846.1,99.7,partial,MF416379.1,90.7,unknown,ILLUMINA
SRR11772653,4644,2,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,93.5,unknown,ILLUMINA
SRR11783599,29896,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,75.1,unknown,ILLUMINA
SRR11810739,4576,4,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,95.1,unknown,ION_TORRENT
SRR11826969,29881,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11851946,29951,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.4,unknown,ILLUMINA
SRR1190372,11435,1,C,checkv,,,NC_019843.3,100.0,partial,NC_019843.3,100.0,partial,KT036374.1,95.9,unknown,ILLUMINA
SRR11915823,5587,3,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,79.6,unknown,ILLUMINA
SRR1192464,9839,1,C,checkv,,,NC_019843.3,100.0,partial,NC_019843.3,100.0,partial,KT036374.1,95.3,unknown,ILLUMINA
SRR11939970,2195,3,D,checkv,694009,,NC_045512.2,99.8,partial,NC_045512.2,99.8,partial,MT084071.1,95.0,unknown,ILLUMINA
SRR11954055,500,1,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,93.2,unknown,ILLUMINA
SRR1195621,29725,1,A,checkv,694009,,NC_004718.3,100.0,complete,NC_004718.3,100.0,complete,AH013709.2,95.7,hiclip_suspicious,ILLUMINA
SRR12045892,3818,11,D,bgc,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,94.2,unknown,ILLUMINA
SRR2050361,672,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR8389837,13306,3,C,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR5224069,4598,5,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR5957732,599,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR1600734,650,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR3180630,3002,1,D,checkv,366617,,NC_005831.2,98.6,partial,NC_005831.2,98.6,partial,MN026166.1,99.8,partial,ILLUMINA
ERR3955908,1596,1,D,checkv,694003,,NC_006213.1,98.7,partial,MN306053.1,99.9,partial,AF058944.1,96.4,unknown,ILLUMINA
ERR4080533,15175,16,C,checkv,694009,,NC_045512.2,98.6,partial,NC_045512.2,98.6,partial,MT084071.1,93.2,unknown,OXFORD_NANOPORE
ERR4080784,5184,2,C,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,95.5,unknown,OXFORD_NANOPORE
ERR4145422,4453,8,D,checkv,696098,,NC_045512.2,95.5,unknown,MT374101.1,95.5,unknown,MT084071.1,89.4,unknown,OXFORD_NANOPORE
ERR4181776,2217,3,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,93.5,unknown,?
ERR4182399,3849,1,D,checkv,694009,,NC_045512.2,98.6,partial,NC_045512.2,98.6,partial,MT084071.1,93.1,unknown,OXFORD_NANOPORE
SRR057858,10222,5,C,checkv,11138,,NC_001846.1,99.9,partial,NC_001846.1,99.9,partial,MF416379.1,95.5,unknown,ILLUMINA
SRR10083574,27922,1,A,checkv,28295,,NC_003436.1,96.2,unknown,KU893870.1,99.1,near_complete,MG546689.1,98.2,complete,ILLUMINA
SRR10357368,24342,3,C,checkv,1335626,,NC_019843.3,99.8,partial,NC_019843.3,99.8,partial,KT036374.1,95.2,unknown,ILLUMINA
SRR10500281,27115,1,A,checkv,11120,,NC_001451.1,90.5,unknown,MN711790.1,100.0,partial,MN548285.1,91.1,unknown,ILLUMINA
SRR11039493,1899,3,D,checkv,11138,,NC_001846.1,100.0,partial,NC_001846.1,100.0,partial,X00509.1,99.4,partial,ILLUMINA
SRR11040133,30519,2,B,checkv,11138,,NC_001846.1,99.9,partial,NC_001846.1,99.9,partial,MF416379.1,91.7,unknown,ILLUMINA
SRR11412228,2393,2,D,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,95.8,unknown,ILLUMINA
SRR11456973,616,1,D,checkv,694009,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,93.8,unknown,ILLUMINA
SRR11494503,30092,4,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,78.4,unknown,ILLUMINA
SRR11494754,30139,4,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,82.7,unknown,ILLUMINA
SRR11573923,29943,1,A,checkv,694009,,NC_045512.2,99.9,near_complete,NC_045512.2,99.9,near_complete,MT084071.1,77.4,unknown,ILLUMINA
SRR11578073,16502,2,C,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,82.2,unknown,ILLUMINA
